Device Id	Operator	Recipe
11	Unknown	YE JIAJIU.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09862558	0.00191579	23.94741769	0.00175747	0.92498276	1.62562523	77.2364	20.3203	41.196307	26490.530	0.00194784	NaN	NaN	NaN	8.656	16:03:59	12/12/2020

Vmeas	Imeas
1.25000000	-0.00468164
1.23040000	-0.00410673
1.21080000	-0.00345218
1.19120000	-0.00277549
1.17160000	-0.00210845
1.15205000	-0.00147245
1.13245000	-0.00088777
1.11285000	-0.00034528
1.09325000	0.00013049
1.07365000	0.00053343
1.05405000	0.00086163
1.03445000	0.00108416
1.01485000	0.00130310
0.99525000	0.00147181
0.97570000	0.00159338
0.95610000	0.00167184
0.93650000	0.00172728
0.91690000	0.00177259
0.89730000	0.00180238
0.87770000	0.00180907
0.85810000	0.00181755
0.83850000	0.00182725
0.81890000	0.00183757
0.79930000	0.00184574
0.77975000	0.00185243
0.76015000	0.00185834
0.74055000	0.00186313
0.72095000	0.00186656
0.70135000	0.00187114
0.68175000	0.00187650
0.66215000	0.00187891
0.64255000	0.00188122
0.62295000	0.00188377
0.60340000	0.00188587
0.58380000	0.00188440
0.56420000	0.00188587
0.54460000	0.00188691
0.52500000	0.00188850
0.50540000	0.00189122
0.48580000	0.00189454
0.46620000	0.00189566
0.44660000	0.00189893
0.42705000	0.00189854
0.40745000	0.00190082
0.38785000	0.00189905
0.36825000	0.00190070
0.34865000	0.00190166
0.32905000	0.00190312
0.30945000	0.00190386
0.28985000	0.00190377
0.27025000	0.00190403
0.25070000	0.00190466
0.23110000	0.00190693
0.21150000	0.00190872
0.19190000	0.00190908
0.17230000	0.00190892
0.15270000	0.00191022
0.13310000	0.00191219
0.11350000	0.00191291
0.09390000	0.00191339
0.07430000	0.00191406
0.05475000	0.00191374
0.03515000	0.00191383
0.01555000	0.00191482
-0.00405000	0.00191732
-0.02365000	0.00191754
-0.04325000	0.00191763
-0.06285000	0.00191815
-0.08245000	0.00191878
-0.10205000	0.00191985
-0.12160000	0.00192167
-0.14120000	0.00192155
-0.16080000	0.00192148
-0.18040000	0.00192027
-0.20000000	0.00192153
