Device Id	Operator	Recipe
13	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09214910	0.00209823	23.31366936	0.00193217	0.91248291	1.76307393	76.9370	19.5897	42.953305	23918.632	0.00212609	NaN	NaN	NaN	9.703	20:07:31	01/31/2021

Vmeas	Imeas
1.20000000	-0.00301723
1.18585000	-0.00258093
1.17170000	-0.00215440
1.15760000	-0.00172324
1.14345000	-0.00132111
1.12930000	-0.00092569
1.11515000	-0.00055792
1.10100000	-0.00020606
1.08685000	0.00012337
1.07275000	0.00043100
1.05860000	0.00070989
1.04445000	0.00095635
1.03030000	0.00115528
1.01615000	0.00133963
1.00200000	0.00149035
0.98790000	0.00161253
0.97375000	0.00170784
0.95960000	0.00178410
0.94545000	0.00183935
0.93130000	0.00188444
0.91715000	0.00192136
0.90305000	0.00195076
0.88890000	0.00197490
0.87475000	0.00199424
0.86060000	0.00201000
0.84645000	0.00202243
0.83230000	0.00203167
0.81820000	0.00204022
0.80405000	0.00204698
0.78990000	0.00205162
0.77575000	0.00205563
0.76160000	0.00205702
0.74745000	0.00206005
0.73335000	0.00206330
0.71920000	0.00206477
0.70505000	0.00206753
0.69090000	0.00206869
0.67675000	0.00207017
0.66265000	0.00207352
0.64850000	0.00207435
0.63435000	0.00207520
0.62020000	0.00207591
0.60605000	0.00207559
0.59190000	0.00207768
0.57780000	0.00207898
0.56365000	0.00207951
0.54950000	0.00208067
0.53535000	0.00208078
0.52120000	0.00208277
0.50705000	0.00208320
0.49295000	0.00208215
0.47880000	0.00208303
0.46465000	0.00208448
0.45050000	0.00208497
0.43635000	0.00208587
0.42220000	0.00208760
0.40810000	0.00208580
0.39395000	0.00208540
0.37980000	0.00208450
0.36565000	0.00208587
0.35150000	0.00208651
0.33735000	0.00208508
0.32325000	0.00208641
0.30910000	0.00208737
0.29495000	0.00208735
0.28080000	0.00208830
0.26665000	0.00208846
0.25250000	0.00208842
0.23840000	0.00208955
0.22425000	0.00208758
0.21010000	0.00208764
0.19595000	0.00209016
0.18180000	0.00208981
0.16770000	0.00208918
0.15355000	0.00208887
0.13940000	0.00208846
0.12525000	0.00209050
0.11110000	0.00208975
0.09695000	0.00208961
0.08285000	0.00209030
0.06870000	0.00209023
0.05455000	0.00209079
0.04040000	0.00209925
0.02625000	0.00210389
0.01210000	0.00210421
-0.00200000	0.00210615
-0.01615000	0.00210439
-0.03030000	0.00210397
-0.04445000	0.00210237
-0.05860000	0.00210162
-0.07275000	0.00210222
-0.08685000	0.00210184
-0.10100000	0.00210233
-0.11515000	0.00210225
-0.12930000	0.00210266
-0.14345000	0.00210270
-0.15760000	0.00210110
-0.17170000	0.00210151
-0.18585000	0.00210214
-0.20000000	0.00211154
