Device Id	Operator	Recipe
20	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.04454224	0.00203913	22.65701429	0.00190489	0.86123893	1.64056930	77.0235	18.2285	52.379139	39316.720	0.00196268	NaN	NaN	NaN	6.219	17:31:34	01/10/2021

Vmeas	Imeas
1.20000000	-0.00345278
1.17345000	-0.00292075
1.14695000	-0.00228219
1.12040000	-0.00162095
1.09390000	-0.00100056
1.06735000	-0.00043544
1.04080000	0.00007145
1.01430000	0.00052713
0.98775000	0.00094915
0.96120000	0.00127486
0.93470000	0.00154710
0.90815000	0.00173338
0.88165000	0.00184903
0.85510000	0.00191795
0.82855000	0.00195678
0.80205000	0.00198027
0.77550000	0.00199275
0.74900000	0.00200306
0.72245000	0.00200704
0.69590000	0.00201015
0.66940000	0.00201335
0.64285000	0.00201457
0.61635000	0.00201881
0.58980000	0.00201876
0.56325000	0.00202001
0.53675000	0.00202185
0.51020000	0.00202262
0.48365000	0.00202298
0.45715000	0.00202452
0.43060000	0.00202514
0.40410000	0.00202771
0.37755000	0.00202795
0.35100000	0.00202660
0.32450000	0.00202952
0.29795000	0.00202796
0.27145000	0.00203284
0.24490000	0.00203413
0.21835000	0.00203512
0.19185000	0.00203616
0.16530000	0.00203594
0.13880000	0.00203606
0.11225000	0.00203351
0.08570000	0.00203569
0.05920000	0.00203773
0.03265000	0.00203898
0.00610000	0.00203939
-0.02040000	0.00204112
-0.04695000	0.00203936
-0.07345000	0.00203964
-0.10000000	0.00204222
