Device Id	Operator	Recipe
23	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	1	1.2000	-0.2000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.07923318	0.00201481	22.38678942	0.00182349	0.88488345	1.61357652	74.2062	17.9286	56.854865	333191.694	0.00199593	NaN	NaN	NaN	9.703	19:33:54	01/30/2021

Vmeas	Imeas
1.20000000	-0.00241078
1.18585000	-0.00214722
1.17170000	-0.00185285
1.15760000	-0.00155432
1.14345000	-0.00124039
1.12930000	-0.00095696
1.11515000	-0.00064098
1.10100000	-0.00038850
1.08685000	-0.00012982
1.07275000	0.00012350
1.05860000	0.00035495
1.04445000	0.00057597
1.03030000	0.00076382
1.01615000	0.00095427
1.00200000	0.00110847
0.98790000	0.00128057
0.97375000	0.00142241
0.95960000	0.00152281
0.94545000	0.00161535
0.93130000	0.00168449
0.91715000	0.00173532
0.90305000	0.00178038
0.88890000	0.00181466
0.87475000	0.00184419
0.86060000	0.00186442
0.84645000	0.00188461
0.83230000	0.00189928
0.81820000	0.00191200
0.80405000	0.00192716
0.78990000	0.00193704
0.77575000	0.00194713
0.76160000	0.00195411
0.74745000	0.00196075
0.73335000	0.00196873
0.71920000	0.00197377
0.70505000	0.00197827
0.69090000	0.00198366
0.67675000	0.00199118
0.66265000	0.00199891
0.64850000	0.00200369
0.63435000	0.00200766
0.62020000	0.00200908
0.60605000	0.00201012
0.59190000	0.00201281
0.57780000	0.00201319
0.56365000	0.00201453
0.54950000	0.00201422
0.53535000	0.00201478
0.52120000	0.00201670
0.50705000	0.00201751
0.49295000	0.00201680
0.47880000	0.00201731
0.46465000	0.00201699
0.45050000	0.00201825
0.43635000	0.00201682
0.42220000	0.00201707
0.40810000	0.00201728
0.39395000	0.00201646
0.37980000	0.00201703
0.36565000	0.00201729
0.35150000	0.00201598
0.33735000	0.00201470
0.32325000	0.00201595
0.30910000	0.00201525
0.29495000	0.00201670
0.28080000	0.00201593
0.26665000	0.00201465
0.25250000	0.00201500
0.23840000	0.00201454
0.22425000	0.00201577
0.21010000	0.00201497
0.19595000	0.00201429
0.18180000	0.00201381
0.16770000	0.00201398
0.15355000	0.00201603
0.13940000	0.00201740
0.12525000	0.00201736
0.11110000	0.00201659
0.09695000	0.00201589
0.08285000	0.00201653
0.06870000	0.00201502
0.05455000	0.00201490
0.04040000	0.00201530
0.02625000	0.00201406
0.01210000	0.00201397
-0.00200000	0.00201390
-0.01615000	0.00201351
-0.03030000	0.00201489
-0.04445000	0.00201492
-0.05860000	0.00201456
-0.07275000	0.00201398
-0.08685000	0.00201521
-0.10100000	0.00201639
-0.11515000	0.00201542
-0.12930000	0.00201382
-0.14345000	0.00201332
-0.15760000	0.00201368
-0.17170000	0.00201361
-0.18585000	0.00201405
-0.20000000	0.00201470
