Device Id	Operator	Recipe
28	Unknown	ShaoZP.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.090000	1.0000	1.0000	0	-0.5000	1.5000	100	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.05401529	0.00210653	23.40585620	0.00187439	0.87053982	1.63173359	73.4912	18.1304	45.258230	367652.687	0.00203884	NaN	NaN	NaN	10.094	20:39:09	01/31/2021

Vmeas	Imeas
1.50000000	-0.01124553
1.47980000	-0.01446211
1.45960000	-0.01499064
1.43940000	-0.01482056
1.41920000	-0.01434668
1.39900000	-0.01370510
1.37880000	-0.01295695
1.35860000	-0.01214363
1.33840000	-0.01128290
1.31820000	-0.01039439
1.29800000	-0.00947763
1.27780000	-0.00855802
1.25760000	-0.00763505
1.23735000	-0.00671870
1.21715000	-0.00581997
1.19695000	-0.00494133
1.17675000	-0.00409158
1.15655000	-0.00327573
1.13635000	-0.00250310
1.11615000	-0.00178003
1.09595000	-0.00111358
1.07575000	-0.00053315
1.05555000	-0.00003391
1.03535000	0.00041242
1.01515000	0.00080572
0.99495000	0.00107781
0.97475000	0.00132729
0.95455000	0.00151086
0.93435000	0.00164539
0.91415000	0.00174313
0.89395000	0.00181405
0.87375000	0.00186675
0.85355000	0.00190752
0.83335000	0.00193879
0.81315000	0.00196172
0.79295000	0.00198119
0.77275000	0.00199842
0.75250000	0.00201310
0.73230000	0.00202399
0.71210000	0.00203607
0.69190000	0.00204432
0.67170000	0.00205247
0.65150000	0.00206121
0.63130000	0.00206793
0.61110000	0.00207520
0.59090000	0.00208136
0.57070000	0.00208681
0.55050000	0.00209212
0.53030000	0.00209552
0.51010000	0.00209787
0.48990000	0.00210034
0.46970000	0.00210355
0.44950000	0.00210341
0.42930000	0.00210599
0.40910000	0.00210517
0.38890000	0.00210786
0.36870000	0.00210655
0.34850000	0.00210709
0.32830000	0.00210707
0.30810000	0.00210823
0.28790000	0.00210822
0.26770000	0.00210754
0.24745000	0.00210640
0.22725000	0.00210596
0.20705000	0.00210578
0.18685000	0.00210535
0.16665000	0.00210659
0.14645000	0.00210597
0.12625000	0.00210572
0.10605000	0.00210530
0.08585000	0.00210678
0.06565000	0.00210436
0.04545000	0.00210518
0.02525000	0.00210533
0.00505000	0.00210558
-0.01515000	0.00210575
-0.03535000	0.00210506
-0.05555000	0.00210537
-0.07575000	0.00210534
-0.09595000	0.00210589
-0.11615000	0.00210613
-0.13635000	0.00210604
-0.15655000	0.00210545
-0.17675000	0.00210675
-0.19695000	0.00210630
-0.21715000	0.00210771
-0.23735000	0.00210741
-0.25760000	0.00210795
-0.27780000	0.00211069
-0.29800000	0.00211177
-0.31820000	0.00211363
-0.33840000	0.00212000
-0.35860000	0.00212953
-0.37880000	0.00214486
-0.39900000	0.00216902
-0.41920000	0.00220288
-0.43940000	0.00225529
-0.45960000	0.00233370
-0.47980000	0.00244567
-0.50000000	0.00259767
