Device Id	Operator	Recipe
31	Unknown	scw.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.086400	1.0000	1.0000	1	1.2000	-0.1000	50	10	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.07946907	0.00193992	22.45273756	0.00172652	0.92026277	1.58885313	75.8736	18.3895	32.632715	21228.824	0.00193594	NaN	NaN	NaN	6.000	20:21:42	12/01/2020

Vmeas	Imeas
1.20000000	-0.00610398
1.17345000	-0.00445628
1.14695000	-0.00287012
1.12040000	-0.00151002
1.09390000	-0.00044222
1.06735000	0.00037138
1.04080000	0.00092584
1.01430000	0.00122009
0.98775000	0.00147267
0.96120000	0.00161207
0.93470000	0.00169498
0.90815000	0.00174688
0.88165000	0.00178033
0.85510000	0.00180330
0.82855000	0.00182055
0.80205000	0.00183409
0.77550000	0.00184636
0.74900000	0.00185655
0.72245000	0.00186611
0.69590000	0.00187396
0.66940000	0.00187685
0.64285000	0.00188224
0.61635000	0.00188598
0.58980000	0.00189161
0.56325000	0.00189512
0.53675000	0.00190119
0.51020000	0.00190604
0.48365000	0.00190991
0.45715000	0.00191421
0.43060000	0.00191787
0.40410000	0.00192028
0.37755000	0.00192197
0.35100000	0.00192523
0.32450000	0.00192658
0.29795000	0.00192554
0.27145000	0.00192631
0.24490000	0.00192869
0.21835000	0.00192984
0.19185000	0.00193091
0.16530000	0.00193286
0.13880000	0.00193294
0.11225000	0.00193453
0.08570000	0.00193642
0.05920000	0.00193796
0.03265000	0.00193774
0.00610000	0.00193934
-0.02040000	0.00194247
-0.04695000	0.00194109
-0.07345000	0.00194348
-0.10000000	0.00194396
