Device Id	Operator	Recipe
7	Unknown	YE JIAJIU 0.09 cm2.IV

Sample Area	Irradiance	Pre sweep delay	Bias Direction	Max Reverse Bias	Max Forward Bias	Num Sweep Points	Dwell Time	Current Limit	PVIV 10A I-AMP	Average	Dark Current	Rshunt V-Lo	Rshunt V-Hi
0.080000	1.0000	1.0000	1	1.2500	-0.2000	75	20	300	0	0	0	-0.6000	-0.1000

Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
1.09881038	0.00184773	23.09657752	0.00169006	0.92148637	1.55736328	76.7060	19.4670	40.338273	47777.839	0.00188711	NaN	NaN	NaN	8.656	20:56:01	11/30/2020

Vmeas	Imeas
1.25000000	-0.00499141
1.23040000	-0.00436430
1.21080000	-0.00365163
1.19120000	-0.00291739
1.17160000	-0.00219878
1.15205000	-0.00151935
1.13245000	-0.00091607
1.11285000	-0.00034805
1.09325000	0.00013784
1.07365000	0.00054006
1.05405000	0.00086092
1.03445000	0.00107059
1.01485000	0.00127650
0.99525000	0.00142456
0.97570000	0.00152885
0.95610000	0.00160443
0.93650000	0.00165876
0.91690000	0.00169782
0.89730000	0.00172613
0.87770000	0.00174903
0.85810000	0.00176514
0.83850000	0.00177650
0.81890000	0.00178735
0.79930000	0.00179595
0.77975000	0.00180180
0.76015000	0.00180864
0.74055000	0.00181240
0.72095000	0.00181655
0.70135000	0.00181983
0.68175000	0.00182091
0.66215000	0.00182405
0.64255000	0.00182569
0.62295000	0.00182634
0.60340000	0.00182838
0.58380000	0.00183127
0.56420000	0.00183319
0.54460000	0.00183464
0.52500000	0.00183476
0.50540000	0.00183562
0.48580000	0.00183536
0.46620000	0.00183688
0.44660000	0.00183659
0.42705000	0.00183772
0.40745000	0.00183844
0.38785000	0.00184001
0.36825000	0.00184012
0.34865000	0.00184116
0.32905000	0.00183975
0.30945000	0.00184122
0.28985000	0.00184122
0.27025000	0.00184105
0.25070000	0.00184241
0.23110000	0.00184118
0.21150000	0.00184283
0.19190000	0.00184332
0.17230000	0.00184517
0.15270000	0.00184485
0.13310000	0.00184536
0.11350000	0.00184716
0.09390000	0.00184713
0.07430000	0.00184694
0.05475000	0.00184873
0.03515000	0.00184822
0.01555000	0.00184837
-0.00405000	0.00184770
-0.02365000	0.00184823
-0.04325000	0.00184779
-0.06285000	0.00184834
-0.08245000	0.00184908
-0.10205000	0.00184909
-0.12160000	0.00184964
-0.14120000	0.00185034
-0.16080000	0.00185019
-0.18040000	0.00185197
-0.20000000	0.00185126
